fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2139.0,,,,,39.0,48.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2110.0,,,,,38.0,60.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2083.0,,,,,49.0,68.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2030.0,,,,,48.0,60.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,1996.0,,,,,30.0,45.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1982.0,,,,,25.0,63.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1952.0,,,,,27.0,77.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1926.0,,,,,23.0,89.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1903.0,,,,,26.0,106.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1874.0,,,,,32.0,110.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1842.0,,,,,28.0,111.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1826.0,,,,,26.0,97.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1800.0,,,,,83.0,82.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1654.0,,,,,85.0,72.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1621.0,,,,,42.0,37.0,,,0.8,,20,,2
NF,,,,,51.621244,-115.608378,1604.0,,,,,42.0,23.0,,,,,20,,101
C2,,,,,51.621244,-115.608378,1587.0,,,,,45.0,20.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1570.0,,,,,43.0,359.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1588.0,,,,,44.0,344.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1609.0,,,,,56.0,331.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1660.0,,,,,79.0,328.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1701.0,,,,,96.0,339.0,,,0.8,,20,,2
